535114;MPG16;A 21, connectIng pIece, G 2 1/2;111
535115;MPG16;A 22, connectIng pIece, DN 32;42
535042;MPG16;A 3, connectIng pIece, G 2;54
535043;MPG16;A 4, connectIng pIece, G 1 1/2;29
539721;MPG16;A 40-70, connectIng pIece for flange / flange, DN 40, Cast Iron;95
539921;MPG16;A 40-70, connectIng pIece for flange / flange, DN 40, Cast Iron;82
535044;MPG16;A 5, connectIng pIece, G 1 1/2;19
549821;MPG16;A 50-10, connectIng pIece, DN 50, Cast Iron;54
549921;MPG16;A 50-10, connectIng pIece, DN 50, Cast Iron;42
549822;MPG16;A 50-20, connectIng pIece, DN 50, Cast Iron;57
549922;MPG16;A 50-20, connectIng pIece, DN 50, Cast Iron;46
549823;MPG16;A 50-50, connectIng pIece, DN 50, Cast Iron;71
549923;MPG16;A 50-50, connectIng pIece, DN 50, Cast Iron;60
549824;MPG16;A 50-60, connectIng pIece for flange / flange, DN 50, Cast Iron;103
549924;MPG16;A 50-60, connectIng pIece for flange / flange, DN 50, Cast Iron;86
535045;MPG16;A 6, connectIng pIece, G 2;27
559821;MPG16;A 65-10, connectIng pIece, DN 65, Cast Iron;62
559921;MPG16;A 65-10, connectIng pIece, DN 65, Cast Iron;48
559823;MPG16;A 65-160, connectIng pIece for flange / flange, DN 65, Cast Iron;254
559923;MPG16;A 65-160, connectIng pIece for flange / flange, DN 65, Cast Iron;229
559822;MPG16;A 65-25, connectIng pIece, DN 65, Cast Iron;73
559922;MPG16;A 65-25, connectIng pIece, DN 65, Cast Iron;57
535046;MPG16;A 7, connectIng pIece, G 2;46
535047;MPG16;A 8, connectIng pIece, G 2;35
569821;MPG16;A 80-10, connectIng pIece, DN 80, Cast Iron;84
569921;MPG16;A 80-10, connectIng pIece, DN 80, Cast Iron;59
569827;MPG16;A 80-140, connectIng pIece for flange / flange, DN 80, Steel;212
569927;MPG16;A 80-140, connectIng pIece for flange / flange, DN 80, Steel;75
569822;MPG16;A 80-15, connectIng pIece, DN 80, Cast Iron;91
569922;MPG16;A 80-15, connectIng pIece, DN 80, Cast Iron;64
569823;MPG16;A 80-20, connectIng pIece, DN 80, Steel;95
569923;MPG16;A 80-20, connectIng pIece, DN 80, Steel;72
569824;MPG16;A 80-25, connectIng pIece, DN 80, Cast Iron;99
569924;MPG16;A 80-25, connectIng pIece, DN 80, Cast Iron;78
569825;MPG16;A 80-40, connectIng pIece, DN 80, Cast Iron;102
569925;MPG16;A 80-40, connectIng pIece, DN 80, Cast Iron;81
569826;MPG16;A 80-50, connectIng pIece, DN 80, Cast Iron;106
569926;MPG16;A 80-50, connectIng pIece, DN 80, Cast Iron;94
535048;MPG16;A 9, connectIng pIece, G 2;41
96763566;S1;A/C InsulatIon kIt Magna 25, 32-60/100;90
96741526;S1;A/C InsulatIon kIt Magna 32 -120F;105
96741524;S1;A/C InsulatIon kIt Magna 32, 40-100F;88
96741527;S1;A/C InsulatIon kIt Magna 40 -120F;105
96741525;S1;A/C InsulatIon kIt Magna 50 -100F;90
96741528;S1;A/C InsulatIon kIt Magna 50 -60/120F;107
96741529;S1;A/C InsulatIon kIt Magna 65 -60/120F;136
97535200;MPG42;"Acc, Flow sleeve D380(400)x2000 8"" SPG";1747
97535444;MPG42;"Acc, Flow sleeve D380(400)x2250 10"" SPG";1949
97714571;MPG42;"Acc, Flow sleeve D420(450)x1500 8"" SPG";1494
97535439;MPG42;"Acc, flow sleeve D420(450)x1500 SPG 8""";3030
97714573;MPG42;"Acc, Flow sleeve D420(450)x1750 8"" SPG";1722
97535440;MPG42;"Acc, Flow sleeve D420(450)x2000 SPG 8""";1949
97714558;MPG42;"Acc, Flow sleeve D420(450)x2250 12"" SPG";2177
97535441;MPG42;"Acc, Flow sleeve D420(450)x2250 SPG 8""";2177
97549345;MPG42;"Acc, Flow sleeve D420(450)x2500 SPG 8""";2404
97535447;MPG42;"Acc, Flow sleeve D450(480)x2250 12"" SPG";2313
96699697;MPG27;Acc. cable 2 m, analog  output, angled;57
96632921;MPG27;Acc. cable 2 m, analog  output, straIght;39
96693246;MPG27;Acc. cable 2 m, control Input, angled;57
96609014;MPG27;Acc. cable 2 m, control Input, straIght;39
96440447;MPG27;Acc. cable 2 m, pulse, 0/4-20mA In, DME;43
96698716;MPG27;Acc. cable 2 m, relay output, angled;57
96609017;MPG27;Acc. cable 2 m, relay output, straIght;39
96440450;MPG27;Acc. cable 2m, level Input,  DME;42
96534214;MPG27;Acc. cable 2m, relay output,  DME60-940;66
96632922;MPG27;Acc. cable 5 m, analog  output, straIght;46
96440448;MPG27;Acc. cable 5 m, pulse, 0/4-20mA In, DME;50
96609019;MPG27;Acc. cable 5 m, relay output, straIght;46
96609016;MPG27;Acc. cable 5 m,control Input, straIght;46
96440451;MPG27;Acc. cable 5m, level Input,  DME;47
96534215;MPG27;Acc. cable 5m, relay output,  DME60-940;82
97535448;MPG42;"Acc. Flow sleeve D450(480)x2500 12"" SPG";2556
96021462;MPG7;Acc.Cableterm. set SQ 3x1.5-2.5mm2 Eur;35
62500022;MPG29;ACOUSTIC ALARM 1X230V;142
96449488;MPG16;Adapter flange, 114 / DN 100;746
96449489;MPG16;Adapter flange, 114 / DN 100;833
96449490;MPG16;Adapter flange, 139 / DN 125;897
96449491;MPG16;Adapter flange, 139 / DN 125;1066
96449492;MPG16;Adapter flange, 168 / DN 150;1100
96449493;MPG16;Adapter flange, 168 / DN 150;1403
96449484;MPG16;Adapter flange, 88,9 / DN 100;699
96449486;MPG16;Adapter flange, 88,9 / DN 80;601
96449487;MPG16;Adapter flange, 88,9 / DN 80;704
96824795;MPG28;Add-on cpl. Packed, GSM CIM250;563
96257411;MPG34;AFG.22.130.78.Ex.5.1A.A;12406
00ID0388;MPG16;AIr vent screw for pressure gauge, R 1/8 / G 1/8;4
95906254;MPG16;Alarm module cpl., UP26;145
97936209;MPG16;Alarm PCB ConlIft;112
98475900;MPG1;ALPHA1 15-40 130 1x230V 50Hz 6H;223
98475904;MPG1;ALPHA1 15-50 130 1x230V 50Hz 6H;246
98475906;MPG1;ALPHA1 15-60 130 1x230V 50Hz 6H;257
98475910;MPG1;ALPHA1 20-40 130 1x230V 50Hz 6H;223
98475976;MPG1;ALPHA1 20-40 N 150 1x230V 50Hz 6H;382
98475986;MPG1;ALPHA1 20-45 N 150 1x230V 50Hz 6H;462
98475922;MPG1;ALPHA1 20-50 130 1x230V 50Hz 6H;246
98475979;MPG1;ALPHA1 20-50 N 150 1x230V 50Hz 6H;420
98475927;MPG1;ALPHA1 20-60 130 1x230V 50Hz 6H;257
98475981;MPG1;ALPHA1 20-60 N 150 1x230V 50Hz 6H;439
98475932;MPG1;ALPHA1 25-40 130 1x230V 50Hz 6H;203
98475930;MPG1;ALPHA1 25-40 180 1x230V 50Hz 6H;203
98475964;MPG1;ALPHA1 25-40 A 180 1x230V 50Hz 6H;233
98475969;MPG1;ALPHA1 25-40 N 180 1x230V 50Hz 6H;382
98475933;MPG1;ALPHA1 25-50 130 1x230V 50Hz 6H;223
98475934;MPG1;ALPHA1 25-50 180 1x230V 50Hz 6H;223
98475970;MPG1;ALPHA1 25-50 N 180 1x230V 50Hz 6H;420
98475935;MPG1;ALPHA1 25-60 130 1x230V 50Hz 6H;233
98475936;MPG1;ALPHA1 25-60 180 1x230V 50Hz 6H;233
98475965;MPG1;ALPHA1 25-60 A 180 1x230V 50Hz 6H;269
